order_id,customer_id,price,quantity,order_date,region,product
1,4174,456.97,9,2022-08-01,,Widget
2,4507,58.03,9,2022-05-30,,Widget
3,1860,373.24,9,2022-03-11,South,Doohickey
4,2294,291.78,2,2022-10-14,South,Widget
5,2130,182.3,4,2022-05-14,EAST,Widget
6,2095,44.18,9,2022-05-07,EAST,Doohickey
7,4772,304.34,7,2022-10-16,EAST,Doohickey
8,4092,18.09,5,2022-05-11,north,Gadget
9,2638,253.13,2,2022-09-14,  WEST,Widget
10,3169,304.08,9,2022-01-26,South,Doohickey
11,1466,367.6,2,2022-10-14,EAST,Widget
12,2238,495.71,7,2022-11-01,EAST,Widget
13,1330,133.75,9,2022-08-18,,Widget
14,2482,164.58,4,2022-03-31,  WEST,Gadget
15,3135,173.87,9,2022-09-07,South,Doohickey
16,4444,367.13,8,2022-12-25,,Doohickey
17,4171,466.25,7,2022-02-11,EAST,Gadget
18,3919,487.29,8,2022-10-12,South,Gadget
19,4735,473.18,4,2022-07-12,  WEST,Gadget
20,1130,440.29,7,2022-03-19,EAST,Gadget
21,2685,495.53,3,2022-01-16,north,Doohickey
22,4380,191.09,5,2022-05-22,South,Doohickey
23,1769,474.42,2,2022-12-16, west ,Doohickey
24,3391,381.7,8,2022-12-28,South,Gadget
25,2515,88.39,2,2022-04-03,EAST,Doohickey
26,4485,27.51,7,2022-05-21,,Widget
27,3853,111.17,8,2022-07-20, west ,Widget
28,3433,390.48,6,2022-08-19,South,Doohickey
29,2215,317.69,4,2022-06-30,,Widget
30,1955,116.06,4,2022-02-23, west ,Gadget
31,3324,372.25,6,2022-12-25,EAST,Doohickey
32,2184,74.95,8,2022-09-04, west ,Gadget
33,1459,411.81,9,2022-07-10,South,Doohickey
34,4385,398.11,6,2022-05-02,north,Doohickey
35,1021,486.43,3,2022-05-01,  WEST,Gadget
36,3300,79.39,4,2022-09-16,EAST,Widget
37,1747,453.77,5,2022-11-27,north,Doohickey
38,3904,173.85,3,2022-02-28,north,Widget
39,4632,210.95,5,2022-01-23, west ,Doohickey
40,1474,236.88,8,2022-07-10,north,Doohickey
41,2082,315.32,4,2022-04-17,,Widget
42,3558,497.41,7,2022-06-16,South,Widget
43,4753,301.98,1,2022-08-27, west ,Widget
44,3047,463.72,7,2022-01-22,  WEST,Doohickey
45,4547,131.24,1,2022-07-07,north,Gadget
46,3747,202.21,2,2022-05-03,north,Gadget
47,1975,254.73,1,2022-09-20,EAST,Widget
48,2806,164.84,3,2022-01-22, west ,Gadget
49,1189,488.55,8,2022-02-27, west ,Doohickey
50,4005,364.21,8,2022-10-21,EAST,Doohickey
51,3734,242.05,7,2022-01-28,South,Widget
52,4005,376.9,7,2022-08-31,north,Doohickey
53,1562,236.38,5,2022-09-08,  WEST,Gadget
54,2899,13.53,9,2022-12-15,EAST,Widget
55,4638,273.88,1,2022-11-06,South,Widget
56,2267,314.47,4,2022-12-04,EAST,Doohickey
57,3879,490.7,6,2022-10-31,EAST,Widget
58,2528,25.19,4,2022-01-30,EAST,Doohickey
59,4202,258.49,2,2022-02-20,EAST,Gadget
60,4556,53.59,2,2022-02-17, west ,Doohickey
61,4890,78.75,2,2022-11-22,EAST,Doohickey
62,1646,307.18,7,2022-06-30,north,Widget
63,3068,119.63,5,2022-04-15,north,Widget
64,3888,375.84,2,2022-02-17,EAST,Widget
65,3214,259.53,9,2022-01-31,north,Widget
66,2297,113.02,2,2022-04-29,north,Doohickey
67,3435,249.43,7,2022-08-04,north,Gadget
68,1600,5.44,1,2022-07-01,South,Doohickey
69,3363,432.06,6,2022-11-04,South,Widget
70,3061,11.28,6,2022-08-07,north,Widget
71,1241,8.47,5,2022-06-27,  WEST,Widget
72,3041,307.69,7,2022-01-05,north,Widget
73,3824,486.89,8,2022-01-30,,Gadget
74,4417,428.69,2,2022-05-08,EAST,Widget
75,3612,129.75,3,2022-10-12,EAST,Widget
76,3945,102.35,8,2022-01-25, west ,Gadget
77,2363,314.93,5,2022-04-03,,Doohickey
78,3139,412.21,6,2022-07-15,north,Doohickey
79,2390,184.23,4,2022-09-08,north,Widget
80,4003,219.02,1,2022-11-03,  WEST,Gadget
81,2478,62.17,8,2022-06-24,EAST,Gadget
82,4499,80.65,4,2022-04-02,South,Gadget
83,3556,286.33,9,2022-04-23,north,Doohickey
84,1775,55.81,2,2022-06-07,north,Widget
85,1034,105.01,8,2022-06-30,South,Gadget
86,3253,121.17,9,2022-11-14,north,Gadget
87,4152,224.74,6,2022-11-11,South,Gadget
88,2955,27.58,8,2022-08-11,north,Gadget
89,2585,252.39,4,2022-09-16,EAST,Gadget
90,4943,464.69,1,2022-06-22,EAST,Gadget
91,4459,17.11,2,2022-10-05,north,Doohickey
92,4073,317.34,1,2022-12-26,South,Gadget
93,2021,418.74,9,2022-09-28, west ,Gadget
94,4461,159.67,5,2022-04-08,north,Doohickey
95,3613,70.1,6,2022-03-06,north,Gadget
96,2129,26.45,8,2022-02-05,South,Widget
97,4843,323.73,9,2022-11-16,north,Doohickey
98,4893,278.36,3,2022-04-22,north,Doohickey
99,2500,118.5,2,2022-03-30,north,Gadget
100,1702,416.65,3,2022-02-05,EAST,Gadget
101,3449,369.08,6,2022-01-04,north,Widget
102,3777,141.83,1,2022-12-23, west ,Gadget
103,2579,377.91,2,2022-07-29,,Doohickey
104,1161,126.27,8,2022-11-18,north,Doohickey
105,1201,339.26,8,2022-12-04,north,Doohickey
106,2981,63.68,6,2022-02-08,north,Doohickey
107,1995,347.66,8,2022-05-02,north,Widget
108,3317,123.19,8,2022-04-18,South,Gadget
109,4934,288.37,5,2022-06-24,north,Widget
110,1815,90.37,4,2022-01-07,South,Widget
111,4342,364.35,7,2022-03-21,north,Gadget
112,1455,35.14,1,2022-08-21,,Widget
113,4533,86.88,7,2022-10-09, west ,Gadget
114,4798,96.15,8,2022-08-05,north,Gadget
115,2275,25.47,3,2022-05-28,north,Gadget
116,2016,373.78,8,2022-03-12,South,Doohickey
117,4773,490.57,6,2022-06-23,  WEST,Gadget
118,3343,390.31,3,2022-04-22,  WEST,Doohickey
119,4796,431.01,6,2022-01-30, west ,Widget
120,3767,7.97,6,2022-02-05,,Gadget
121,4820,63.35,4,2022-04-24,EAST,Widget
122,1337,281.72,5,2022-04-25,north,Widget
123,1878,489.05,5,2022-07-31, west ,Doohickey
124,2076,332.05,6,2022-01-23,,Gadget
125,1791,190.2,6,2022-03-14,EAST,Widget
126,4993,77.34,3,2022-01-15,South,Widget
127,3264,80.65,2,2022-02-13,north,Gadget
128,1763,184.56,1,2022-08-03, west ,Gadget
129,3235,358.34,1,2022-09-06,north,Gadget
130,1379,20.75,8,2022-12-02,,Gadget
131,1492,426.83,4,2022-09-19,,Doohickey
132,4112,471.07,5,2022-03-06,north,Gadget
133,2180,444.96,8,2022-11-21,South,Widget
134,3062,456.95,7,2022-11-30,,Doohickey
135,4884,12.59,4,2022-03-19,,Gadget
136,1064,489.01,7,2022-02-05,EAST,Widget
137,4928,186.35,3,2022-02-11,South,Widget
138,4910,435.29,6,2022-04-20,EAST,Gadget
139,3568,97.47,2,2022-01-23,north,Widget
140,2367,226.03,6,2022-02-19,north,Widget
141,2152,26.86,6,2022-09-16,north,Doohickey
142,3027,,3,2022-10-04,  WEST,Doohickey
143,3695,471.92,9,2022-09-29, west ,Doohickey
144,2495,406.25,5,2022-04-17,South,Widget
145,4134,267.26,5,2022-10-12,,Doohickey
146,2162,265.1,1,2022-06-04,north,Doohickey
147,2522,375.63,4,2022-11-28,north,Doohickey
148,3640,174.13,1,2022-03-15,north,Doohickey
149,1391,382.13,1,2022-03-25,EAST,Gadget
150,2698,245.08,7,2022-02-07,South,Doohickey
151,1418,320.77,5,2022-02-03,South,Widget
152,3336,482.59,8,2022-10-10,,Gadget
153,1378,238.3,4,2022-07-04,north,Gadget
154,2796,212.11,9,2022-12-16,  WEST,Doohickey
155,4561,453.35,4,2022-08-04,EAST,Doohickey
156,3278,451.78,2,2022-05-12, west ,Gadget
157,4065,,3,2022-06-06,  WEST,Widget
158,3088,277.68,9,2022-10-02,EAST,Gadget
159,4099,175.41,3,2022-01-26,South,Doohickey
160,3182,123.99,1,2022-03-30,north,Doohickey
161,1200,21.88,9,2022-12-18,north,Widget
162,2863,364.73,2,2022-06-13,EAST,Gadget
163,1779,120.57,2,2022-10-21,EAST,Gadget
164,3977,305.29,8,2022-06-27,EAST,Gadget
165,4104,458.71,3,2022-12-11,north,Gadget
166,4119,475.36,3,2022-08-19,,Widget
167,1502,7.18,3,2022-07-11,,Doohickey
168,3454,161.95,6,2022-06-18,EAST,Doohickey
169,4645,419.5,4,2022-07-30,South,Widget
170,2751,270.54,2,2022-09-21,South,Doohickey
171,1804,404.72,4,2022-11-23,EAST,Gadget
172,3146,427.4,3,2022-08-04,  WEST,Gadget
173,3731,224.1,7,2022-10-20,South,Widget
174,2895,182.7,4,2022-11-27,,Widget
175,3773,230.44,1,2022-11-21,EAST,Widget
176,2570,328.13,7,2022-04-18,  WEST,Widget
177,1960,186.74,4,2022-12-29,South,Widget
178,4810,388.62,9,2022-03-13,north,Widget
179,3660,452.48,4,2022-01-02,South,Gadget
180,2485,144.74,7,2022-03-29,north,Doohickey
181,3690,482.67,6,2022-09-03,South,Gadget
182,4840,313.25,6,2022-02-26,EAST,Gadget
183,2028,439.69,2,2022-02-16,  WEST,Widget
184,4289,56.44,5,2022-02-08,  WEST,Widget
185,1502,129.49,4,2022-11-10,EAST,Widget
186,3814,163.9,1,2022-12-04,South,Doohickey
187,1397,154.9,9,2022-08-31,north,Widget
188,1870,90.07,3,2022-05-08,north,Widget
189,3842,434.76,9,2022-09-20,  WEST,Gadget
190,1392,212.21,1,2022-04-04,  WEST,Widget
191,1206,481.75,7,2022-10-31,  WEST,Gadget
192,2038,293.82,9,2022-08-06,EAST,Gadget
193,2881,73.51,2,2022-02-08,,Doohickey
194,4625,275.22,3,2022-01-02,South,Doohickey
195,3939,496.8,2,2022-02-01,EAST,Widget
196,2484,284.76,7,2022-05-30, west ,Gadget
197,4762,5.93,8,2022-06-23,South,Gadget
198,4646,466.87,6,2022-05-19,EAST,Gadget
199,1863,121.27,1,2022-03-26,north,Gadget
200,3790,345.82,5,2022-08-09,  WEST,Gadget
201,4312,259.96,1,2022-05-06,north,Gadget
202,1563,166.09,3,2022-11-28,north,Gadget
203,2020,144.91,1,2022-01-31,EAST,Gadget
204,1095,464.74,2,2022-05-23, west ,Widget
205,2923,456.4,1,2022-09-20,South,Widget
206,2757,259.0,7,2022-08-12,,Widget
207,3532,132.96,7,2022-09-07, west ,Doohickey
